start_station_name,start_station_id
W 36 St & 7 Ave,6483.06
Broadway & E 19 St,5980.11
Jackson Ave & 46 Rd,6203.02
Willis Ave & E 143 St,7798.02
Grand Concourse & E 167 St,8126.07
W 42 St & 8 Ave,6602.05
Cauldwell Ave & E 158 St,7913.15
E 6 St & Ave B,5584.04
E 6 St & Ave D,5506.14
E 10 St & Ave A,5659.05
W 25 St & 8 Ave,6297.08
Jerome Ave & Bedford Park Blvd E,8734.02
W 22 St & 10 Ave,6306.06
Page Pl & Grand Ave,5409.02
Columbus Ave & W 59 St,6986.07
E 14 St & Ave B,5736.09
Washington Pl & Broadway,5755.01
E 17 St & Broadway,5980.1
E 1 St & 1 Ave,5593.01
Central Park W & W 91 St,7453.01
Driggs Ave & N 9 St,5411.08
E 66 St & Madison Ave,6969.08
Broadway & W 122 St,7783.18
W 92 St & Broadway,7502.01
W 84 St & Amsterdam Ave,7409.04
31 Ave & 30 St,6857.09
Broadway & Madison St,4483.1
Bergen St & 4 Ave,4322.06
Fulton St & Waverly Ave,4345.11
Adam Clayton Powell Blvd & W 115 St,7643.18
Broadway & E 21 St,6098.1
60 St & 60 Rd,5360.02
Rivington St & Chrystie St,5453.01
11 Ave & W 59 St,7059.01
Adam Clayton Powell Blvd & W 138 St,7855.03
Central Park S & 6 Ave,6876.04
Eastern Pkwy & Kingston Ave,3902.06
8 Ave & W 16 St,6072.11
E 165 St & Clay Ave,8052.02
St Nicholas Ave & W 157 St,8085.09
E 106 St & Lexington Ave,7504.18
Sterling Pl & 5 Ave,4208.01
11 Ave & W 27 St,6425.04
Brevoort Pl & Bedford Ave,4181.1
Schermerhorn St & Court St,4565.07
MacDougal St & Washington Sq,5797.01
E 182 St & Grand Concourse,8494.07
E 19 St & 3 Ave,5938.01
E 53 St & Madison Ave,6659.03
Eastern Pkwy & St Marks Ave,3982.01
6 Ave & Broome St,5610.09
Eastern Pkwy & Rochester Ave,3853.02
Allen St & Stanton St,5484.09
6 Ave & Walker St,5430.1
Marcy Ave & Lafayette Ave,4476.03
University Pl & E 14 St,5905.14
Grand Concourse & E 164 St,8057.02
8 Ave & W 27 St,6297.07
Morris Ave & E 171 St,8209.01
Fulton St & Adams St,4637.06
Roosevelt Ave & 104 St,6414.07
Grove St & Fresh Pond Rd,5168.04
31 St & Broadway,6789.2
Central Park S & Grand Army Plaza,6839.15
E 141 St & St Ann's Ave,7722.06
Bergen Ave & E 152 St,7858.02
E 106 St & 1 Ave,7456.03
Concourse Village West & E 156 St,7962.01
Melrose Ave & E 150 St,7879.01
E 13 St & 2 Ave,5820.08
Vernon Blvd & 31 Ave,7003.06
Pacific St & Smith St,4446.03
Lexington Ave & E 24 St,6089.07
11 Ave & W 41 St,6726.01
West End Ave & W 60 St,7059.08
W 54 St & 9 Ave,6920.05
E 15 St & 5 Ave,5947.06
Bond St & Fulton St,4479.06
Willoughby Ave & Myrtle Ave,4759.02
8 Ave & W 52 St,6816.07
Canal St & Rutgers St,5303.08
W 12 St & Hudson St,5997.1
23 St & 31 Ave,6929.01
Liberty St & Broadway,5105.01
5 Ave & E 72 St,7100.07
5 Ave & W 126 St,7701.21
Amsterdam Ave & W 79 St,7311.02
W 56 St & 6 Ave,6809.07
Central Park W & W 85 St,7354.01
Atlantic Ave & Furman St,4614.04
Hicks St & Montague St,4645.09
W 48 St &  Rockefeller Plaza,6626.11
E 17 St & 2 Ave,5896.01
E 58 St & 3 Ave,6762.02
Bainbridge Ave & Bedford Park Blvd,8682.06
W 15 St & 6 Ave,5989.02
Menahan St & Wyckoff Ave,4890.11
Wadsworth Ave & W 175 St,8299.03
E 54 St & 1 Ave,6608.09
21 St & 21 Ave,7314.03
21 Ave & Crescent St,7284.01
Bank St & Washington St,5964.01
111 St & 37 Ave,6567.03
E 2 St & Ave A,5553.1
Division St & Bowery,5311.08
Steinway St & 21 Ave,7137.04
Henry St & Degraw St,4380.08
Bedford Ave & Fenimore St,3552.09
W 30 St & 10 Ave,6459.07
W 100 St & Broadway,7580.01
E 170 St & Webster Ave,8156.03
Carmine St & 6 Ave,5763.03
Montague St & Clinton St,4677.06
Park Pl & Thomas S. Boyland St,3950.03
43 Ave & 47 St,6209.05
W 63 St & Broadway,7052.01
5 Av & W 139 St,7851.04
W 116 St & Amsterdam Ave,7692.11
Woodward Ave & Harman St,5074.08
Broadway & W 157 St,8123.06
Park Ave & E 124 St,7682.01
E 97 St & 3 Ave,7365.08
E 9 St & 5 Ave,5872.1
W 30 St & 8 Ave,6373.07
Broadway & W 160 St,8157.06
E 23 St & 1 Ave,5929.01
Keegan Rd & 2 Ave,3019.03
Columbia St & Lorraine St,4013.08
1 Ave & E 38 St,6230.02
71 Ave & Myrtle Ave,4871.02
St Nicholas Ave & W 155 St,8085.05
25 Ave & 41 St,6943.07
W 87 St & Amsterdam Ave,7458.03
W 34 St & Hudson Blvd E,6535.04
24 Ave & 29 St,7119.04
7 Ave & W 55 St,6847.05
W 20 St & 10 Ave,6306.01
Lenox Ave & W 117 St,7655.22
Sterling Pl & Ralph Ave,3958.02
