start_station_name,start_station_id
Frederick Douglass Blvd & W 145 St,7954.12
W 54 St & 6 Ave,6771.13
E 11 St & Ave B,5659.11
Madison Ave & E 99 St,7443.01
Butler St & Court St,4339.01
Columbia St & Kane St,4422.05
West End Ave & W 107 St,7650.05
108 St & 39 Ave,6490.02
57 St & Grand Ave,5440.05
Melrose Ave & E 154 St,7918.12
Wyckoff Ave & Gates Ave,4847.03
12 Ave & W 40 St,6765.01
31 St & Newtown Ave,6923.2
Woodward Ave & Harman St,5074.08
St Nicholas Ave & W 137 St,7898.03
Broadway & Kent Ave,5134.09
Clinton St & Tillary St,4748.07
5 Av & W 139 St,7851.04
Amsterdam Ave & W 119 St,7727.07
E 13 St & Ave A,5779.09
8 Ave & W 27 St,6297.07
1 Ave & E 18 St,5854.09
Schermerhorn St & Hoyt St,4479.1
W 47 St & 10 Ave,6824.07
E 106 St & Lexington Ave,7504.18
38 Ave & 29 St,6538.11
E 72 St & York Ave,6889.12
5 Ave & E 135 St,7769.06
11 Ave & W 27 St,6425.04
Fort Hamilton Pkwy & E 5 St,3240.15
6 Ave & Walker St,5430.1
Grand Concourse & E 164 St,8057.02
E 170 St & Clay Ave,8156.01
Willoughby St & Fleet St,4628.05
W 100 St & Broadway,7580.01
99 St & 35 Ave,6542.05
Audubon Ave & W 192 St,8469.05
Central Park W & W 97 St,7538.18
Walton Ave & E 168 St,8179.03
E 116 St & 2 Ave,7563.06
Broadway & Hancock St,4441.06
E 16 St & Irving Pl,5938.11
Myrtle Ave & 65 St,4862.04
Broadway & W 37 St,6441.02
Murray St & West St,5329.08
44 St & 48 Ave,6058.08
Milton St & Franklin St,5752.07
E 170 St & Sheridan Ave,8194.07
W Burnside Ave & University Ave,8425.01
Catalpa Ave & Woodward Ave,4912.1
Maple St & Albany Ave,3608.06
90 St & 32 Ave,6668.06
St Ann's Ave & Westchester Ave,7835.1
21 St & Queens Plaza North,6471.02
Carlton Ave & St Marks Ave,4199.13
99 St & Astoria Blvd,6733.01
E 155 St & Courtlandt Ave,7940.02
Steinway St & 28 Ave,6915.02
20 Ave & 31 St,7256.01
Grand St & Elizabeth St,5382.06
Hancock St & Wyckoff Ave,4735.16
Adam Clayton Powell Blvd & W 130 St,7774.02
Prospect Park W & 20 St,3507.04
Corona Ave & 98 St,6188.04
Goulden Ave & W 205 St,8799.01
White St & Moore St,4987.06
35 St & 21 Ave,7170.04
Ditmars Blvd & 79 St,6994.06
57 Ave & 98 Pl,6028.01
E 23 St & 1 Ave,5929.01
Perry St & Greenwich Ave,5955.12
W 37 St & 5 Ave,6398.06
Allen St & Hester St,5342.1
E 9 St & 5 Ave,5872.1
Lawrence St & Willoughby St,4596.09
Palmetto St & Traffic Ave,5129.01
E 31 St & 3 Ave,6239.08
Grand Ave & 55 St,5369.01
